Artist,Title,Year,URL
"LMFAO ft. Lauren Bennett, GoonRock",Party Rock Anthem,2011,https://www.youtube.com/watch?v=zIh5AHxh-
Loreen,Euphoria,2012,https://www.youtube.com/watch?v=t5qURKt4maw
Los Del Rio,Macarena,1993,https://youtu.be/2zvd1JQ0EKY
Marius Müller-Westernhagen,Freiheit,1990,https://www.youtube.com/watch?v=0ohpSRdenhQ
Michel Teló,Nossa Nossa (Ai Se Eu Te Pego),2011,https://www.youtube.com/watch?v=hcm55lU9knw
Mickie Krause,Eine Woche wach,2019,https://www.youtube.com/watch?v=F9y9-xgbPmM
Mickie Krause,Schatzi schenk mir ein Foto,2010,https://www.youtube.com/watch?v=0BGUBfF4xOk
Mr. President,Coco Jamboo,1996,https://www.youtube.com/watch?v=_Jl-QpJNKiQ
Nana Mouskouri,Guten Morgen Sonnenschein,1977,https://www.youtube.com/watch?v=HiVOIxzOx88
Peter Fox,Alles neu,2008,https://www.youtube.com/watch?v=qdtLCfEcPL4
Peter Fox,Haus am See,2008,https://www.youtube.com/watch?v=j-XKgB5guDQ
Peter Schilling,Major Tom (Völlig lösgelöst),1982,https://www.youtube.com/watch?v=vr_UK0tSb8M
Querbeat,Guten Morgen Barbarossaplatz,2017,https://youtu.be/yyJUvDs7bY8
Querbeat,Nie mehr Fastelovend,2015,https://www.youtube.com/watch?v=UhZwKNqDXwE&t=5s
Querbeat,Tschingderassabum,2016,https://youtu.be/7kTn8Kizfg4
Rick Astley,Never Gonna Give You Up,1987,https://www.youtube.com/watch?v=
Robin Schulz feat. Alida,In Your Eyes,2020,https://www.youtube.com/watch?v=mDLiAs5k1oI
Stefan Raab,Maschen-Draht-Zaun,1999,https://www.youtube.com/watch?v=yNwgTW_AJ_s
Tim Bendzko,Nur noch kurz die Welt retten,2011,https://www.youtube.com/watch?v=4BAKb2p450Q
Tobee,Helikopter 117 (Mach' den Hub Hub Hub),2019,https://www.youtube.com/watch?v=ANqoWfqoGJY
Tokio Hotel,Durch den Monsun,2005,https://www.youtube.com/watch?v=S_Sy5-sOodA
Unheilig,Geboren um zu leben,2010,https://www.youtube.com/watch?v=1YOovPkiMrk
Räuber,Denn wenn et Trömmelche jeht,2007,https://youtu.be/GJpTDLVx6aQ
Räuber,Immer wenn ich anh ming Heimat denk,2020,https://youtu.be/Pb9gJJGMsuE
Safri Duo,Played-A-Life (The Bongo Song),2000,https://youtu.be/HaMaJve-dmU
Shakira,Waka Waka (This Time for Africa),2010,https://youtu.be/pRpeEdMmmQ0?t=12
SDP feat. Sido,Die Nacht von Freitag auf Montag,2012,https://www.youtube.com/watch?v=388e_8mu1t4
"Specktakel, Almklausi",Mama Laudaaa,2018,https://www.youtube.com/watch?v=RCpakXJu_o8
Spider Murphy Gang,Skandal im Sperrbezirk,1981,https://www.youtube.com/watch?v=u-AwlK_wBJ8
Sportfreunde Stiller,"'54, '74, '90, 2006",2006,https://www.youtube.com/watch?v=rj9KyVpCfYg
Swiss & Die Andern,Linksradikaler Schlager,2021,https://youtu.be/F3gSQ5jedTA
U96,Das Boot,1992,https://www.youtube.com/watch?v=1mIi1rY8UGY
Udo Jürgens,Griechischer Wein,1974,https://www.youtube.com/watch?v=eKveb4BjK_c
Udo Lindenberg ft. Apache 207,Komet,2023,https://www.youtube.com/watch?v=rqvdfwo9TGc
